Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774766049,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774766050,10,,Aggregated,0.000000,0.000000,120,150,150,160,160,160,160,160,160,160,160,5,0,120.0,131.78419158793986,112.8330419305712,159.39695807173848,171.6
1774766051,20,,Aggregated,0.000000,0.000000,110,120,130,130,150,150,160,160,160,160,160,24,0,110.0,106.25682461735171,63.81700001657009,159.39695807173848,171.41666666666666
1774766052,30,,Aggregated,4.000000,0.000000,100,110,120,120,130,150,160,160,160,160,160,48,0,100.0,96.78046614377915,61.23587500769645,159.39695807173848,171.35416666666666
1774766053,40,,Aggregated,8.000000,0.000000,100,110,120,120,140,150,150,160,160,160,160,74,0,98,95.76792847144895,60.42420899029821,159.39695807173848,171.28378378378378
1774766054,50,,Aggregated,11.666667,0.000000,98,110,120,130,140,150,150,160,160,160,160,105,0,98,97.07445869377504,60.42420899029821,159.39695807173848,171.22857142857143
1774766055,60,,Aggregated,15.500000,0.000000,98,120,130,130,150,150,160,160,170,170,170,151,0,98,98.73525603884055,60.42420899029821,167.40437503904104,171.19205298013244
1774766056,70,,Aggregated,18.000000,0.000000,78,120,130,140,150,160,190,200,200,200,200,197,0,78,99.02185721318166,57.432582951150835,203.67191697005183,171.23857868020303
1774766057,80,,Aggregated,21.833333,0.000000,78,110,130,140,150,180,220,230,240,240,240,251,0,78,100.48246760787703,57.432582951150835,235.06220802664757,171.21115537848607
1774766058,90,,Aggregated,25.714286,0.000000,76,110,130,140,160,180,200,230,240,240,240,303,0,76,99.73914356919147,57.432582951150835,235.06220802664757,171.20792079207922
1774766059,100,,Aggregated,28.500000,0.000000,75,110,120,130,150,180,200,230,240,240,240,360,0,75,97.09418658361149,57.432582951150835,235.06220802664757,171.2277777777778
