timestamp,tfidf_replicas,distilbert_replicas
1775080767,2,2
1775080770,2,2
1775080770,2,2
1775080773,2,2
1775080777,2,2
1775080777,2,2
1775080779,2,2
1775080783,2,2
1775080783,2,2
1775080786,2,2
1775080790,2,2
1775080790,2,2
1775080792,2,2
1775080796,2,2
1775080796,2,2
1775080799,2,2
1775080803,2,2
1775080803,2,2
1775080805,2,2
1775080809,2,2
1775080809,2,2
1775080812,2,2
1775080816,2,2
1775080816,2,2
1775080818,2,2
1775080822,5,2
1775080822,5,2
1775080824,5,2
1775080829,5,2
1775080829,5,2
1775080831,5,2
1775080835,5,2
1775080835,5,2
1775080837,5,2
1775080842,5,2
1775080842,5,2
1775080844,5,2
1775080848,5,2
1775080848,5,2
1775080850,5,2
1775080854,5,2
1775080854,5,2
1775080857,5,2
1775080861,5,2
1775080861,5,2
1775080863,7,2
1775080867,7,2
1775080867,7,2
1775080870,7,2
1775080874,7,2
1775080874,7,2
1775080876,7,2
1775080880,7,2
1775080880,7,2
1775080882,7,2
1775080886,7,2
1775080886,7,2
1775080889,7,2
1775080893,7,2
1775080893,7,2
1775080895,7,2
1775080899,7,2
1775080899,7,2
1775080902,7,2
1775080906,7,2
1775080906,7,2
1775080908,7,2
1775080912,7,2
1775080912,7,2
1775080914,7,2
1775080919,7,2
1775080919,7,2
1775080921,7,2
1775080925,7,2
1775080925,7,2
1775080927,7,2
1775080932,7,2
1775080932,7,2
1775080934,7,2
1775080938,7,2
1775080938,7,2
1775080941,7,3
1775080945,7,3
1775080945,7,3
1775080947,7,3
1775080951,7,3
1775080951,7,3
1775080954,7,3
1775080958,7,3
1775080958,7,3
1775080960,7,3
1775080964,7,3
1775080964,7,3
1775080967,7,3
1775080971,7,3
1775080971,7,3
1775080973,7,3
1775080978,7,3
1775080978,7,3
1775080980,7,3
1775080984,7,3
1775080984,7,3
1775080986,7,3
1775080991,7,3
1775080991,7,3
1775080992,7,3
1775080998,7,3
1775080998,7,3
1775080999,7,3
1775081004,7,3
1775081004,7,3
1775081006,7,4
1775081011,7,4
1775081011,7,4
1775081012,7,4
1775081017,7,4
1775081017,7,4
1775081019,7,4
1775081024,7,4
1775081024,7,4
1775081025,7,4
1775081030,7,4
1775081030,7,4
1775081031,7,4
1775081037,7,4
1775081037,7,4
1775081038,7,4
1775081043,7,4
1775081043,7,4
1775081044,7,4
1775081049,7,4
1775081049,7,4
1775081051,7,4
1775081056,7,4
1775081056,7,4
1775081057,7,4
1775081062,7,4
1775081062,7,4
1775081063,7,4
1775081069,7,4
1775081069,7,4
1775081070,7,4
1775081075,7,4
1775081075,7,4
1775081076,7,4
1775081082,6,4
1775081082,6,4
1775081082,6,4
1775081088,6,4
1775081088,6,4
1775081089,6,4
1775081095,6,4
1775081095,6,4
1775081095,6,4
1775081101,6,4
1775081101,6,4
1775081102,6,4
1775081107,6,4
1775081107,6,4
1775081108,6,4
1775081113,6,4
1775081113,6,4
1775081114,6,4
1775081120,6,4
1775081120,6,4
1775081121,6,4
1775081127,6,4
1775081127,6,4
1775081128,6,4
1775081133,6,4
1775081133,6,4
1775081134,6,4
1775081139,6,4
1775081139,6,4
1775081140,6,4
1775081146,6,4
1775081146,6,4
1775081147,6,4
1775081152,6,4
1775081152,6,4
1775081153,6,4
1775081158,5,4
1775081158,5,4
1775081159,5,4
1775081165,5,4
1775081165,5,4
1775081166,5,4
1775081171,5,4
1775081171,5,4
1775081178,5,4
1775081178,5,4
1775081184,5,4
1775081184,5,4
1775081191,5,4
1775081191,5,4
1775081197,5,4
1775081197,5,4
1775081203,5,4
1775081203,5,4
1775081210,5,4
1775081210,5,4
1775081217,5,4
1775081217,5,4
1775081223,5,4
1775081223,5,4
1775081229,5,4
1775081229,5,4
1775081236,5,4
1775081236,5,4
1775081242,5,4
1775081242,5,4
1775081249,5,4
1775081249,5,4
1775081255,5,4
1775081255,5,4
1775081261,5,5
1775081261,5,5
1775081268,4,5
1775081268,4,5
1775081274,4,5
1775081274,4,5
1775081281,4,5
1775081281,4,5
1775081287,4,5
1775081287,4,5
1775081293,4,5
1775081293,4,5
1775081300,4,5
1775081300,4,5
1775081306,4,5
1775081306,4,5
1775081313,4,5
1775081313,4,5
1775081319,4,5
1775081319,4,5
1775081325,4,5
1775081325,4,5
1775081332,4,5
1775081332,4,5
1775081338,4,5
1775081338,4,5
1775081345,4,5
1775081345,4,5
1775081351,4,5
1775081351,4,5
1775081358,4,5
1775081358,4,5
1775081364,4,5
1775081364,4,5
1775081370,4,5
1775081370,4,5
1775081377,4,5
1775081377,4,5
1775081383,4,5
1775081383,4,5
1775081390,4,5
1775081390,4,5
1775081396,4,5
1775081396,4,5
1775081403,4,5
1775081403,4,5
1775081409,4,5
1775081409,4,5
1775081415,4,5
1775081415,4,5
1775081422,4,5
1775081422,4,5
1775081428,4,5
1775081428,4,5
1775081435,4,5
1775081435,4,5
1775081441,4,5
1775081441,4,5
1775081447,3,5
1775081447,3,5
1775081454,3,5
1775081454,3,5
1775081460,3,5
1775081460,3,5
1775081467,3,5
1775081467,3,5
1775081473,3,5
1775081473,3,5
1775081480,3,5
1775081480,3,5
1775081486,3,5
1775081486,3,5
1775081492,3,5
1775081492,3,5
1775081499,3,5
1775081499,3,5
1775081505,3,5
1775081505,3,5
1775081512,3,5
1775081512,3,5
1775081518,3,5
1775081518,3,5
1775081524,3,5
1775081524,3,5
1775081531,3,5
1775081531,3,5
1775081538,3,5
1775081538,3,5
1775081544,3,5
1775081544,3,5
1775081550,3,5
1775081550,3,5
1775081557,3,5
1775081557,3,5
1775081563,3,5
1775081563,3,5
1775081570,3,5
1775081570,3,5
1775081578,3,5
1775081578,3,5
1775081585,3,5
1775081585,3,5
1775081594,3,5
1775081594,3,5
