timestamp,tfidf_replicas,distilbert_replicas
1775081170,5,4
1775081176,5,4
1775081183,5,4
1775081189,5,4
1775081195,5,4
1775081202,5,4
1775081208,5,4
1775081215,5,4
1775081221,5,4
1775081228,5,4
1775081234,5,4
1775081241,5,4
1775081247,5,4
1775081253,5,4
1775081260,5,4
1775081266,4,5
1775081272,4,5
1775081279,4,5
1775081285,4,5
1775081292,4,5
1775081298,4,5
1775081305,4,5
1775081311,4,5
1775081317,4,5
1775081324,4,5
1775081330,4,5
1775081337,4,5
1775081343,4,5
1775081350,4,5
1775081356,4,5
1775081362,4,5
1775081369,4,5
1775081376,4,5
1775081382,4,5
1775081388,4,5
1775081395,4,5
1775081401,4,5
1775081408,4,5
